Annee;Voyageurs;Voyageurs-km;Tonnes;Tonnes-km
1992;829.38;62.228;137.4;50.37
1972;626.0;43.2;233.72;65.65
1996;786.527;59.773;128.476;50.5
1978;684.04;53.68;202.89;64.35
2001;859.5059808;71.50415328;126.3;50.39629773
1980;685.82;54.66;209.11;66.37
2003;891.6948182;72.25991999;120.68;46.83525
1982;714.72;57.04;174.55;58.4
2008;1076.191643;86.64865267;93.98742229;35.93240921
1983;736.1;58.6;166.26;56.65
2013;1148.07232;87.88289336;50.7341157;19.49841035
1986;778.75;59.86;145.86;51.69
2016;1218.078971;87.27960756;44.09322322;18.08809142
1989;824.9;64.49;146.5;53.27
1999;849.9;66.587496;138.637119;54.350377
2005;963.502661;76.88626654;107.5316579;40.70118045
2015;1185.428558;87.81546777;50.32209027;19.85000144
2018;1225.536433;89.70580892;37.551377;17.38337392
